Time,aat,temp_station,solar_station,lst,veg_p,man_p,wat_p,canopy_p
6/14/2019 11:37,24.12,24.08333333,856,36.35,0.38,0.62,0,0.22
6/14/2019 11:37,24.56333333,24.54629629,888,40.35,0.01,0.99,0,0.04
6/14/2019 11:37,26.25,24.08333333,856,43.25,0,1,0,0.05
6/14/2019 11:37,23.44,24.08333333,856,33.15,0.71,0.29,0,0
6/14/2019 11:37,23.94,24.08333333,856,34.45,0.41,0.59,0,0.03
6/14/2019 11:37,25.12,24.08333333,856,35.55,0.44,0.55,0,0.02
6/14/2019 11:37,23.845,24.08333333,856,30.05,1,0,0,0.09
6/14/2019 11:37,23.965,24.08333333,856,27.65,1,0,0,0.08
6/14/2019 11:37,25.12,24.08333333,856,39.45,0.07,0.9,0,0
6/14/2019 11:38,24.20875,24.44444444,881,36.65,0.21,0.77,0.01,0.18
6/14/2019 11:38,24.25,24.47222222,881,37.35,0.62,0.29,0.09,0.21
6/14/2019 11:38,24.69,24.11111111,858,38.75,0,1,0,0.05
6/14/2019 11:38,24.25,24.11111111,858,36.55,0.62,0.32,0,0.15
6/14/2019 11:38,24.06,24.11111111,858,37.65,0.73,0.26,0.01,0.15
6/14/2019 11:38,24.125,24.47222222,881,38.15,0.65,0.35,0,0.11
6/14/2019 11:38,24.0125,24.29166667,869.5,37.75,0.43,0.54,0,0.21
6/14/2019 11:38,23.56,24.11111111,858,31.65,0.9,0.08,0.01,0.01
6/14/2019 11:38,25.758,25.08148148,913.8333333,40.15,0.46,0.54,0,0.06
6/14/2019 11:38,23.76,24.08585858,858.6818182,30.65,0.57,0.4,0.02,0.12
6/14/2019 11:38,24.44,24.11111111,858,37.55,0.26,0.73,0.01,0.02
6/14/2019 11:38,24.5,24.11111111,858,35.85,0.32,0.68,0,0.05
6/14/2019 11:38,25.33,24.74074074,895.8333333,39.35,0.96,0.02,0,0.04
6/14/2019 11:38,25.17535714,24.58730159,884.4642857,39.95,0.36,0.6,0.04,0.04
6/14/2019 11:38,23.875,24.11111111,858,36.25,0.02,0.98,0,0.01
6/14/2019 11:38,23.935,24.11111111,858,32.75,0.3,0.7,0,0.1
6/14/2019 11:38,24.03,24.47222222,881,37.95,0.66,0.26,0.03,0.11
6/14/2019 11:39,23.795,24.05555556,859.5,34.65,0.61,0.13,0,0.05
6/14/2019 11:39,24.25,24.05555556,859.5,39.15,0.12,0.85,0.02,0.03
6/14/2019 11:39,23.69,24.05555556,859.5,37.45,0,0.99,0.01,0.06
6/14/2019 11:39,24.28,24.44444444,881.75,38.55,0.35,0.63,0.01,0.12
6/14/2019 11:39,24.06,24.05555556,859.5,38.75,0.3,0.7,0,0.03
6/14/2019 11:39,24.25,24.05555556,859.5,38.65,0.38,0.62,0,0.11
6/14/2019 11:39,24.06,24.05555556,859.5,38.25,0.21,0.79,0,0.09
6/14/2019 11:39,24.25,24.05555556,859.5,38.65,0.58,0.42,0,0.07
6/14/2019 11:39,24.12,24.05555556,859.5,38.45,0.41,0.57,0,0.15
6/14/2019 11:39,24.21,24.31481482,874.3333333,38.25,0.62,0.29,0,0.15
6/14/2019 11:39,24.5,24.55,886.1,37.65,0,1,0,0.1
6/14/2019 11:39,24.355,24.61111111,889.1666667,38.85,0.6,0.33,0,0.04
6/14/2019 11:39,23.75,24.05555556,859.5,31.05,0.26,0.74,0,0.09
6/14/2019 11:39,23.87,24.05555556,859.5,30.95,0.7,0.21,0.01,0.05
6/14/2019 11:39,24.37333333,24.68055556,890.0833333,41.05,0.47,0.53,0,0.03
6/14/2019 11:39,25.26666667,24.75925926,896.5,41.45,0.25,0.75,0,0.21
6/14/2019 11:39,27.0375,24.77083333,891.0625,39.95,0.5,0.5,0,0.06
6/14/2019 11:39,23.845,24.05555556,859.5,37.95,0,1,0,0
6/14/2019 11:39,23.84,24.05555556,859.5,34.15,0.89,0.11,0,0
6/14/2019 11:40,24.5,24,861,39.35,0.39,0.61,0,0.01
6/14/2019 11:40,24.62,24,861,40.55,0,1,0,0.05
6/14/2019 11:40,24.31,24,861,38.25,0.57,0.36,0.02,0.07
6/14/2019 11:40,24.93666667,24.42592593,881.6666667,40.35,0.31,0.69,0,0.12
6/14/2019 11:40,25.19357143,24.58134921,880.25,40.15,0.93,0.07,0,0.13
6/14/2019 11:40,24.465,24.44444444,882.5,38.55,0.31,0.62,0.07,0.24
6/14/2019 11:40,24.06,24,861,32.05,0.92,0.08,0,0.26
6/14/2019 11:40,24.06,24,861,38.95,0.11,0.86,0.03,0.07
6/14/2019 11:40,24.06,24,861,30.85,1,0,0,0.28
6/14/2019 11:40,24.375,24.44444444,882.5,38.65,0.57,0.43,0,0.08
6/14/2019 11:40,24.61375,24.55902778,888.875,38.75,0.26,0.7,0,0.09
6/14/2019 11:40,24.59166667,24.60185185,887.4166667,38.55,0.01,0.99,0,0.14
6/14/2019 11:40,24.31,24,861,39.15,0.72,0.25,0,0.24
6/14/2019 11:40,24.33,24.29629629,875.3333333,38.65,0.46,0.47,0.05,0.13
6/14/2019 11:40,24.465,24.44444444,882.5,39.15,0.5,0.48,0.02,0.02
6/14/2019 11:40,24.25,24,861,39.05,0.38,0.57,0.05,0.04
6/14/2019 11:40,29.69,24,861,45.05,0,0.96,0.04,0.03
6/14/2019 11:40,24.59,24.44444444,882.5,39.55,0.51,0.38,0.01,0.19
6/14/2019 11:40,28.68266667,24.49629629,887.5333333,43.45,0,0.94,0.06,0.02
6/14/2019 11:40,23.655,24,861,34.25,0.37,0.63,0,0.01
6/14/2019 11:40,24.03,24,861,35.65,0.58,0.42,0,0.03
6/14/2019 11:40,23.75,24,861,33.35,0.45,0.55,0,0.02
6/14/2019 11:41,25.37,24.02777778,864.5,37.95,0.53,0.15,0,0.02
6/14/2019 11:41,26.29,24.34595959,876.2272727,35.65,0.12,0.87,0,0.13
6/14/2019 11:41,23.37,24.02777778,864.5,34.85,0.51,0.49,0,0.03
6/14/2019 11:41,24.98166667,24.49537037,876.9722222,39.15,0.06,0.83,0.01,0.06
6/14/2019 11:41,30.32428571,24.05952381,866.5,45.55,0,0.98,0.02,0.05
6/14/2019 11:41,24.405,24.45833333,885,37.65,0.04,0.91,0,0.11
6/14/2019 11:41,24.56,24.02777778,864.5,37.85,0.41,0.48,0.02,0.14
6/14/2019 11:41,23.69,24.02777778,864.5,33.15,0.51,0.46,0,0.13
6/14/2019 11:41,23.69,24.02777778,864.5,31.05,0.81,0.19,0,0.2
6/14/2019 11:41,24.5,24.02777778,864.5,37.05,0.38,0.57,0,0.14
6/14/2019 11:41,24.53,24.45833333,885,37.15,0.27,0.72,0,0.09
6/14/2019 11:41,23.75,24.02777778,864.5,33.55,0.55,0.45,0,0.1
6/14/2019 11:41,24.345,24.45833333,885,38.35,0.04,0.94,0,0.05
6/14/2019 11:41,23.655,24.02777778,864.5,30.75,0.49,0.48,0.01,0.13
6/14/2019 11:41,24.03,24.02777778,864.5,32.35,0.29,0.68,0.01,0.01
6/14/2019 11:41,24.345,24.45833333,885,38.55,0.24,0.76,0,0.31
6/14/2019 11:41,24.07272727,24.12121212,870.1363636,39.25,0.65,0.33,0,0
6/14/2019 11:41,24.28,24.45833333,885,38.85,0.27,0.72,0,0.14
6/14/2019 11:42,24,24.05555556,868,39.25,0.4,0.6,0,0.04
6/14/2019 11:42,25.20363636,24.66414142,887.6818182,38.35,0.51,0.49,0,0.01
6/14/2019 11:42,24.14142857,24.23809524,874.1428571,40.95,0.37,0.63,0,0.09
6/14/2019 11:42,24.28,24.47222222,887.5,38.95,0.14,0.86,0,0.04
6/14/2019 11:42,25.36333333,24.49537037,887.6666667,40.75,0.08,0.91,0.01,0.01
6/14/2019 11:42,24.06,24.05555556,868,40.35,0.67,0.26,0.07,0.2
6/14/2019 11:42,25.80764706,24.80065359,888.0882353,41.15,0.16,0.84,0,0
6/14/2019 11:42,25.65521739,24.53502416,883.1521739,40.25,0.07,0.92,0,0.01
6/14/2019 11:42,24.28,24.47222222,887.5,39.15,0.8,0.2,0,0.08
6/14/2019 11:42,25.36,24.47916667,875.125,40.05,0.51,0.45,0,0.03
